iter	Passed	Remaining
188	2104	9028
189	2113	9011
190	2122	8991
191	2131	8968
192	2140	8949
193	2148	8926
194	2166	8942
195	2175	8923
196	2184	8904
197	2193	8885
198	2203	8867
199	2211	8847
200	2220	8825
201	2232	8817
202	2240	8795
203	2248	8774
204	2257	8754
205	2267	8737
206	2287	8761
207	2294	8737
208	2302	8714
209	2310	8690
210	2319	8673
211	2328	8653
212	2336	8634
213	2345	8615
214	2353	8594
215	2362	8574
216	2370	8551
217	2379	8534
218	2394	8537
219	2401	8515
220	2410	8497
221	2418	8477
222	2426	8453
223	2433	8431
224	2442	8412
225	2450	8392
226	2461	8380
227	2468	8357
228	2475	8335
229	2486	8323
230	2495	8308
231	2504	8292
232	2513	8273
233	2521	8253
234	2528	8232
235	2536	8212
236	2545	8195
237	2554	8179
238	2562	8158
239	2571	8144
240	2584	8138
241	2592	8121
242	2600	8102
243	2607	8079
244	2616	8061
245	2626	8050
246	2642	8057
247	2650	8038
248	2659	8020
249	2669	8008
250	2676	7988
251	2684	7968
252	2695	7958
253	2706	7948
254	2715	7933
255	2723	7915
256	2730	7893
257	2738	7874
258	2747	7860
259	2757	7847
260	2771	7847
261	2780	7831
262	2788	7814
263	2796	7797
264	2804	7778
265	2812	7761
266	2820	7742
267	2827	7723
268	2836	7708
269	2846	7694
270	2856	7683
271	2867	7673
272	2874	7654
273	2882	7637
274	2890	7620
275	2898	7602
276	2908	7590
277	2918	7579
278	2925	7559
279	2934	7544
280	2942	7528
281	2949	7509
282	2955	7488
283	2963	7472
284	2976	7466
285	2986	7454
286	2993	7436
287	3001	7419
288	3008	7402
289	3016	7385
290	3026	7373
291	3035	7358
292	3044	7345
293	3052	7331
294	3060	7314
295	3071	7304
296	3081	7295
297	3094	7290
298	3107	7284
299	3117	7274
300	3125	7257
301	3133	7243
302	3141	7226
303	3150	7212
304	3157	7195
305	3166	7182
306	3176	7169
307	3184	7155
308	3193	7142
309	3203	7130
310	3213	7118
311	3221	7104
312	3229	7088
313	3237	7072
314	3249	7066
315	3260	7058
316	3271	7048
317	3279	7034
318	3287	7018
319	3295	7002
320	3304	6989
321	3311	6973
322	3319	6956
323	3330	6949
324	3338	6934
325	3347	6920
326	3355	6906
327	3363	6891
328	3371	6875
329	3379	6860
330	3386	6845
331	3394	6830
332	3402	6815
333	3410	6800
334	3418	6785
335	3425	6769
336	3435	6758
337	3441	6741
338	3450	6727
339	3459	6714
340	3468	6703
341	3476	6688
342	3485	6676
343	3498	6671
344	3508	6661
345	3515	6645
346	3523	6630
347	3530	6613
348	3537	6597
349	3544	6582
350	3552	6567
351	3560	6553
352	3568	6540
353	3575	6524
354	3583	6511
355	3593	6499
356	3601	6487
357	3611	6476
358	3632	6485
359	3646	6482
360	3655	6471
361	3666	6461
362	3675	6449
363	3683	6435
364	3695	6428
365	3703	6415
366	3711	6401
367	3719	6387
368	3727	6374
369	3738	6365
370	3746	6352
371	3755	6339
372	3764	6327
373	3773	6316
374	3781	6303
375	3790	6290
376	3799	6278
377	3807	6265
378	3817	6255
379	3828	6247
380	3839	6237
381	3847	6225
382	3856	6212
383	3864	6199
384	3874	6189
385	3883	6177
386	3891	6164
387	3900	6151
388	3909	6140
389	3917	6126
390	3924	6113
391	3932	6100
392	3948	6098
393	3962	6094
394	3971	6083
395	3981	6073
396	3989	6059
397	3998	6047
398	4007	6035
399	4015	6023
400	4025	6013
401	4036	6004
402	4047	5996
403	4056	5984
404	4064	5971
405	4089	5983
406	4099	5972
407	4107	5960
408	4118	5951
409	4132	5946
410	4143	5938
411	4155	5930
412	4164	5918
413	4182	5919
414	4193	5911
415	4206	5905
416	4221	5902
417	4231	5892
418	4240	5880
419	4249	5868
420	4265	5865
421	4276	5857
422	4288	5849
423	4299	5840
424	4312	5834
425	4322	5824
426	4332	5813
427	4342	5803
428	4350	5790
429	4359	5779
430	4367	5765
431	4374	5752
432	4382	5738
433	4393	5729
434	4403	5718
435	4411	5706
436	4420	5694
437	4428	5682
438	4436	5669
439	4445	5657
440	4455	5647
441	4470	5643
442	4481	5634
443	4492	5625
444	4501	5614
445	4534	5633
446	4548	5626
447	4556	5613
448	4563	5600
449	4573	5590
450	4582	5578
451	4592	5567
452	4601	5556
453	4610	5544
454	4620	5534
455	4630	5523
456	4638	5511
457	4647	5500
458	4660	5492
459	4669	5482
460	4680	5472
461	4687	5459
462	4695	5445
463	4748	5484
464	4780	5500
465	4788	5486
466	4799	5477
467	4808	5466
468	4816	5452
469	4823	5439
470	4830	5425
471	4838	5412
472	4847	5400
473	4853	5386
474	4861	5372
475	4867	5358
476	4874	5344
477	4883	5333
478	4892	5321
479	4899	5308
480	4906	5294
481	4914	5281
482	4922	5268
483	4931	5257
484	4938	5244
485	4946	5231
486	4954	5219
487	4964	5208
488	4971	5195
489	4978	5182
490	4988	5170
491	4997	5159
492	5005	5148
493	5014	5136
494	5023	5125
495	5039	5120
496	5047	5108
497	5054	5095
498	5068	5088
499	5078	5078
500	5091	5070
501	5106	5065
502	5114	5053
503	5124	5042
504	5136	5034
505	5144	5022
506	5160	5018
507	5170	5007
508	5180	4997
509	5192	4988
510	5200	4976
511	5209	4964
512	5218	4954
513	5230	4945
514	5241	4935
515	5251	4925
516	5263	4917
517	5271	4904
518	5278	4891
519	5285	4879
520	5295	4868
521	5304	4857
522	5312	4844
523	5319	4832
524	5329	4822
525	5337	4809
526	5346	4798
527	5360	4791
528	5369	4780
529	5381	4772
530	5389	4760
531	5399	4749
532	5412	4741
533	5420	4729
534	5427	4717
535	5436	4706
536	5445	4694
537	5460	4689
538	5474	4682
539	5482	4670
540	5491	4658
541	5499	4647
542	5509	4636
543	5517	4625
544	5524	4612
545	5532	4599
546	5540	4588
547	5548	4576
548	5555	4564
549	5563	4552
550	5571	4539
551	5579	4528
552	5586	4516
553	5594	4503
554	5604	4493
555	5613	4482
556	5622	4471
557	5631	4461
558	5641	4450
559	5650	4439
560	5658	4427
561	5665	4415
562	5675	4405
563	5686	4396
564	5694	4384
565	5705	4375
566	5716	4365
567	5727	4356
568	5736	4344
569	5744	4333
570	5752	4322
571	5761	4310
572	5771	4301
573	5780	4289
574	5788	4278
575	5797	4267
576	5805	4256
577	5814	4245
578	5824	4234
579	5834	4224
580	5848	4217
581	5857	4206
582	5873	4201
583	5882	4190
584	5890	4178
585	5896	4166
586	5905	4155
587	5914	4144
588	5922	4132
589	5937	4126
590	5945	4114
591	5953	4103
592	5961	4091
593	5968	4079
594	5977	4068
595	5985	4057
596	6003	4052
597	6020	4046
598	6034	4039
599	6042	4028
600	6050	4016
601	6059	4005
602	6067	3994
603	6075	3983
604	6083	3972
605	6091	3960
606	6100	3950
607	6109	3938
608	6119	3928
609	6129	3918
610	6137	3907
611	6144	3895
612	6155	3885
613	6162	3874
614	6177	3867
615	6184	3855
616	6193	3844
617	6201	3833
618	6210	3822
619	6218	3811
620	6226	3800
621	6236	3789
622	6246	3779
623	6260	3772
624	6271	3763
625	6283	3754
626	6295	3744
627	6305	3734
628	6314	3724
629	6323	3713
630	6331	3702
631	6340	3692
632	6349	3681
633	6357	3670
634	6365	3658
635	6371	3646
636	6384	3638
637	6392	3627
638	6402	3616
639	6411	3606
640	6428	3600
641	6437	3589
642	6445	3578
643	6453	3567
644	6473	3562
645	6482	3552
646	6493	3542
647	6501	3531
648	6511	3521
649	6523	3512
650	6534	3503
651	6545	3493
652	6553	3482
653	6560	3470
654	6571	3461
655	6586	3453
656	6594	3442
657	6605	3433
658	6616	3423
659	6624	3412
660	6633	3401
661	6642	3391
662	6652	3381
663	6663	3371
664	6672	3361
665	6701	3361
666	6724	3357
667	6731	3345
668	6741	3335
669	6756	3328
670	6770	3319
671	6777	3308
672	6786	3297
673	6798	3288
674	6807	3277
675	6818	3267
676	6830	3258
677	6841	3249
678	6842	3234
679	6842	3220
680	6843	3205
681	6844	3191
682	6845	3177
683	6845	3162
684	6846	3148
685	6847	3134
686	6849	3120
687	6850	3106
688	6851	3092
689	6851	3078
690	6852	3064
691	6853	3050
692	6853	3036
693	6854	3022
694	6854	3008
695	6855	2994
696	6856	2980
697	6856	2966
698	6857	2952
699	6858	2939
700	6858	2925
701	6859	2911
702	6859	2898
703	6860	2884
704	6861	2870
705	6861	2857
706	6862	2843
707	6863	2830
708	6863	2817
709	6864	2803
710	6865	2790
711	6866	2777
712	6867	2764
713	6867	2750
714	6869	2738
715	6870	2725
716	6871	2712
717	6871	2698
718	6872	2685
719	6873	2672
720	6873	2659
721	6874	2646
722	6874	2633
723	6875	2621
724	6876	2608
725	6877	2595
726	6877	2582
727	6878	2569
728	6878	2557
729	6879	2544
730	6880	2531
731	6880	2519
732	6881	2506
733	6882	2494
734	6882	2481
735	6883	2469
736	6884	2456
737	6884	2444
738	6885	2431
739	6886	2419
740	6886	2407
741	6887	2394
742	6887	2382
743	6888	2370
744	6889	2358
745	6889	2345
746	6890	2333
747	6891	2321
748	6891	2309
749	6892	2297
750	6893	2285
751	6893	2273
752	6894	2261
753	6894	2249
754	6895	2237
755	6896	2225
756	6896	2213
757	6897	2202
758	6898	2190
759	6898	2178
760	6899	2166
761	6900	2155
762	6900	2143
763	6901	2131
764	6902	2120
765	6902	2108
766	6903	2097
767	6903	2085
768	6904	2074
769	6905	2062
770	6905	2051
771	6906	2039
772	6907	2028
773	6907	2016
774	6908	2005
775	6908	1994
776	6909	1983
777	6910	1971
778	6910	1960
779	6911	1949
780	6912	1938
781	6912	1927
782	6913	1916
783	6914	1904
784	6914	1893
785	6915	1882
786	6916	1871
787	6916	1860
788	6917	1849
789	6918	1838
790	6918	1828
791	6919	1817
792	6919	1806
793	6920	1795
794	6921	1784
795	6921	1773
796	6922	1763
797	6923	1752
798	6923	1741
799	6924	1731
800	6925	1720
801	6926	1709
802	6926	1699
803	6927	1688
804	6928	1678
805	6928	1667
806	6929	1657
807	6930	1646
808	6931	1636
809	6931	1625
810	6932	1615
811	6933	1605
812	6933	1594
813	6934	1584
814	6935	1574
815	6935	1563
816	6936	1553
817	6937	1543
818	6937	1533
819	6938	1523
820	6939	1512
821	6939	1502
822	6942	1493
823	6943	1482
824	6943	1472
825	6944	1462
826	6945	1452
827	6945	1442
828	6946	1432
829	6948	1423
830	6948	1413
831	6949	1403
832	6950	1393
833	6950	1383
834	6951	1373
835	6952	1363
836	6953	1354
837	6954	1344
838	6954	1334
839	6955	1324
840	6956	1315
841	6957	1305
842	6958	1295
843	6958	1286
844	6959	1276
845	6960	1267
846	6961	1257
847	6961	1247
848	6962	1238
849	6963	1228
850	6964	1219
851	6965	1209
852	6965	1200
853	6966	1191
854	6967	1181
855	6968	1172
856	6968	1162
857	6969	1153
858	6970	1144
859	6970	1134
860	6971	1125
861	6972	1116
862	6972	1106
863	6973	1097
864	6974	1088
865	6974	1079
866	6975	1070
867	6976	1060
868	6977	1051
869	6977	1042
870	6978	1033
871	6979	1024
872	6980	1015
873	6981	1006
874	6981	997
875	6982	988
876	6983	979
877	6983	970
878	6985	961
879	6986	952
880	6986	943
881	6987	934
882	6988	925
883	6988	917
884	6989	908
885	6990	899
886	6991	890
887	6992	881
888	6992	873
889	6993	864
890	6994	855
891	6994	846
892	6995	838
893	6996	829
894	6996	820
895	6997	812
896	6998	803
897	6998	794
898	6999	786
899	6999	777
900	7000	769
901	7001	760
902	7001	752
903	7002	743
904	7002	735
905	7003	726
906	7004	718
907	7004	709
908	7005	701
909	7006	692
910	7006	684
911	7007	676
912	7008	667
913	7008	659
914	7009	651
915	7009	642
916	7010	634
917	7011	626
918	7011	618
919	7012	609
920	7013	601
921	7013	593
922	7014	585
923	7014	576
924	7015	568
925	7016	560
926	7016	552
927	7017	544
928	7017	536
929	7018	528
930	7019	520
931	7019	512
932	7020	504
933	7020	496
934	7021	488
935	7022	480
936	7023	472
937	7023	464
938	7024	456
939	7024	448
940	7025	440
941	7026	432
942	7026	424
943	7027	416
944	7027	409
945	7028	401
946	7029	393
947	7029	385
948	7030	377
949	7031	370
950	7031	362
951	7032	354
952	7033	346
953	7033	339
954	7034	331
955	7034	323
956	7035	316
957	7036	308
958	7036	300
959	7037	293
960	7038	285
961	7038	278
962	7039	270
963	7040	262
964	7040	255
965	7041	247
966	7042	240
967	7042	232
968	7043	225
969	7043	217
970	7044	210
971	7045	202
972	7046	195
973	7046	188
974	7047	180
975	7048	173
976	7048	165
977	7049	158
978	7050	151
979	7050	143
980	7051	136
981	7052	129
982	7052	121
983	7053	114
984	7053	107
985	7054	100
986	7055	92
987	7055	85
988	7056	78
989	7056	71
990	7057	64
991	7058	56
992	7059	49
993	7059	42
994	7060	35
995	7061	28
996	7062	21
997	7062	14
998	7063	7
999	7064	0
